model,metro,n,MAE_logret,RMSE_logret
ARIMA(AIC),"Austin, TX",39,0.00533,0.00631
ARIMA(AIC),"Cleveland, OH",39,0.00178,0.00231
ARIMA(AIC),"San Francisco, CA",39,0.00471,0.0062
"MLP(16,8)","Austin, TX",36,0.00488,0.0062
"MLP(16,8)","Cleveland, OH",25,0.00487,0.00572
"MLP(16,8)","San Francisco, CA",36,0.00455,0.00561
OLS,"Austin, TX",36,0.00555,0.00686
OLS,"Cleveland, OH",25,0.00339,0.00419
OLS,"San Francisco, CA",36,0.00339,0.00406
XGBoost,"Austin, TX",36,0.00748,0.00808
XGBoost,"Cleveland, OH",25,0.00253,0.00284
XGBoost,"San Francisco, CA",36,0.00368,0.00481
