,"Austin, TX","Cleveland, OH","San Francisco, CA"
price_cuts,0.00662,0.00391,0.0018
"metro_San Francisco, CA",0.00125,0.00122,0.00279
d_mortgage30,0.00088,0.00084,0.00114
d_log_days_pending,0.00067,0.0011,0.00086
d_log_new_listings,0.00063,0.00081,0.00085
stlfsi,0.00071,0.00053,0.00078
cpi_yoy,0.00098,0.00053,0.00046
"metro_Austin, TX",0.00084,0.00046,0.00048
"metro_Cleveland, OH",0.00038,0.00059,0.00021
d_unrate_metro,0.00026,0.00021,0.00033
d_log_houst,0.0002,0.00019,0.00022
d_unrate_nat,0.00021,0.00018,0.0002
